GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
activity-rewards,com.thecodest.slack.activityrewards.auth,AuthViaEnvModule,0,22,0,0,0,8,0,2,0,2
activity-rewards,com.thecodest.slack.activityrewards.aws,CustomS3PersistenceImpl,86,14,4,0,15,5,8,2,6,2
activity-rewards,com.thecodest.slack.activityrewards.aws,AWSCredentialsProvider,0,17,0,0,0,5,0,2,0,2
activity-rewards,com.thecodest.slack.activityrewards.aws,AmazonS3Provider,0,25,0,0,0,8,0,2,0,2
activity-rewards,com.thecodest.slack.activityrewards.aws,AwsModule,0,73,0,0,0,16,0,3,0,3
activity-rewards,com.thecodest.slack.activityrewards.slack,SlackUser,37,0,0,0,5,0,6,0,6,0
activity-rewards,com.thecodest.slack.activityrewards.slack,SlackModule,0,10,0,0,0,3,0,2,0,2
activity-rewards,com.thecodest.slack.activityrewards.slack,SimpleSlackClient,199,13,4,0,40,4,22,2,20,2
activity-rewards,com.thecodest.slack.activityrewards,Result,15,0,0,0,1,0,3,0,3,0
activity-rewards,com.thecodest.slack.activityrewards,EmailNormalization.NormalizedEmail,38,33,6,0,8,1,6,6,3,6
activity-rewards,com.thecodest.slack.activityrewards,EmailNormalization,3,85,0,8,1,14,1,6,1,2
activity-rewards,com.thecodest.slack.activityrewards,MessageBeing,15,0,0,0,1,0,3,0,3,0
activity-rewards,com.thecodest.slack.activityrewards,MonthlyResults,21,0,0,0,1,0,4,0,4,0
activity-rewards,com.thecodest.slack.activityrewards,FakeRunningCalculator,5,0,0,0,2,0,2,0,2,0
activity-rewards,com.thecodest.slack.activityrewards,Configuration,3,6,0,0,1,3,1,1,1,1
activity-rewards,com.thecodest.slack.activityrewards,WinnerIsMessage,24,0,0,0,4,0,2,0,2,0
activity-rewards,com.thecodest.slack.activityrewards,App,3,36,0,0,1,4,1,1,1,1
activity-rewards,com.thecodest.slack.activityrewards,DateCalculator,8,21,0,0,2,3,2,3,2,3
activity-rewards,com.thecodest.slack.activityrewards,MasterModule,0,24,0,0,0,7,0,2,0,2
activity-rewards,com.thecodest.slack.activityrewards,ActivityRewards,122,31,3,1,27,5,8,3,6,3
activity-rewards,com.thecodest.slack.activityrewards,LocalRunningCalculator,0,56,0,16,0,8,0,13,0,5
activity-rewards,com.thecodest.slack.activityrewards,RunningCalculatorProvider,9,36,1,1,0,10,2,5,1,5
